id,url,domain,network,extend,regex1,regex2,regex3,regex4,regex5,virustotal,isaffi
261,https://www.fdma.go.jp/,0,0,0,0,0,0,0,0,0,0
262,https://www.e-gov.go.jp/,0,0,0,0,0,0,0,1,0,0
263,https://www.data.go.jp/,0,0,0,0,0,0,1,1,0,0
264,https://www.inno.go.jp/,0,0,0,0,0,0,0,1,0,0
265,http://www.jpki.go.jp/,0,0,0,0,0,0,0,0,0,0
266,https://www.kojinbango-card.go.jp/,0,0,0,0,0,0,0,1,0,0
267,https://www.j-lis.go.jp/,0,0,0,0,0,0,0,1,0,0
268,https://www.lgpki.go.jp/,0,0,0,0,0,0,0,1,0,0
269,https://www.lg-waps.go.jp/,0,0,0,0,0,0,0,0,0,0
270,https://www.lta.go.jp/,0,0,0,0,0,0,0,1,0,0
271,https://zozo.jp/,0,0,1,0,0,0,0,0,0,0
272,https://www.rakuten.co.jp/,0,0,0,0,0,0,1,1,0,0
273,https://www.yodobashi.com/,0,0,1,0,0,0,0,0,0,0
274,https://www.nissen.co.jp/,0,0,0,0,1,0,0,1,0,0
275,https://ec-plus.panasonic.jp/,0,0,0,0,0,0,0,1,0,0
276,https://favorite-one.co.jp/,0,0,0,0,0,0,0,1,0,0
277,https://suzuri.jp/,0,0,1,0,0,0,0,1,0,0
278,https://www.pc-koubou.jp/,0,0,0,0,0,0,1,1,0,0
279,https://www.dospara.co.jp/,0,0,0,0,0,0,0,0,1,0
280,https://www.mouse-jp.co.jp/,0,0,0,0,0,0,0,1,0,0
281,https://kakaku.com/,0,0,0,1,1,0,1,1,0,0
282,https://shop.tsukumo.co.jp/pc/,0,0,0,0,0,0,0,1,0,0
283,https://www.felissimo.co.jp/,0,0,0,1,0,0,0,1,0,0
284,https://jp.mercari.com/,0,0,0,0,0,0,0,1,0,0
285,https://shop-list.com/,0,0,1,0,0,0,1,1,0,0
286,https://www.bellemaison.jp/,0,0,0,0,0,0,0,1,0,0
287,https://fril.jp/,0,0,0,1,0,0,1,1,0,0
288,https://auctions.yahoo.co.jp/,0,0,1,0,0,0,1,1,0,0
289,https://www.grail.bz/,0,0,1,0,0,0,0,1,0,0
290,https://honto.jp/,0,0,0,0,0,0,0,0,0,0
291,https://www.e-hon.ne.jp/,0,0,0,0,0,0,0,0,0,0
292,https://booth.pm/ja,0,0,0,0,0,0,0,1,0,0
293,https://order.mandarake.co.jp/,0,0,0,0,0,0,0,0,0,0
294,https://k-books.co.jp/,0,0,1,0,0,0,1,1,0,0
295,https://www.animate-onlineshop.jp/,0,0,0,0,0,0,1,1,0,0
296,https://www.dinos.co.jp/,0,0,0,0,0,0,0,1,0,0
297,https://web.hh-online.jp/,0,0,1,0,0,0,0,1,0,0
298,https://www.muji.com/jp/ja/store,0,0,0,0,0,0,0,0,0,0
299,https://gelatopique.com/,0,0,0,0,0,0,0,0,0,0
300,https://www.ksdenki.com/shop/,0,0,0,0,0,0,0,1,0,0
301,https://www.biccamera.com/bc/main/,0,0,0,0,0,0,0,0,0,0
302,https://www.yamada-denkiweb.com/,0,0,0,0,0,0,0,1,0,0
303,https://www.kojima.net/,0,0,1,0,0,0,0,1,0,0
304,https://online.nojima.co.jp/,0,0,1,0,0,0,0,1,0,0
305,https://www.edion.com/,0,0,0,0,0,0,0,1,0,0
306,https://joshinweb.jp/,0,0,0,0,0,0,0,1,0,0
307,https://www.sofmap.com/,0,0,0,0,0,0,1,1,0,0
308,https://www.hmv.co.jp/,0,0,0,0,0,0,1,1,0,0
309,https://tower.jp/,0,0,0,0,0,0,1,1,0,0
310,https://www.kinokuniya.co.jp/,0,0,0,1,0,0,0,1,0,0
311,https://www.softbank.jp/,0,0,1,0,0,0,1,1,0,0
312,https://www.komatsu.jp/ja,0,0,1,0,0,0,0,1,0,0
313,https://www.nipponpapergroup.com/,0,0,0,0,0,0,0,1,0,0
314,https://www.nidec.com/jp/,0,0,0,0,0,0,0,1,0,0
315,https://www.tokyometro.jp/index.html,0,0,0,0,0,0,0,1,0,0
